EmpID,ProjectID,DateFrom,DateTo
8497,1327,Sat Dec 24 2022 23:55:56 GMT+0200 (Eastern European Standard Time),Mon Dec 18 2023 21:29:40 GMT+0200 (Eastern European Standard Time)
632,9862,Sun Nov 06 2022 06:51:45 GMT+0200 (Eastern European Standard Time),Thu Jul 06 2023 08:31:09 GMT+0300 (Eastern European Summer Time)
1334,3596,Wed Nov 23 2022 16:43:56 GMT+0200 (Eastern European Standard Time),Sun May 28 2023 17:22:04 GMT+0300 (Eastern European Summer Time)
8301,9554,Wed Jul 13 2022 22:30:09 GMT+0300 (Eastern European Summer Time),Wed Nov 08 2023 03:54:57 GMT+0200 (Eastern European Standard Time)
9964,8660,Thu Mar 03 2022 12:34:03 GMT+0200 (Eastern European Standard Time),Mon Mar 27 2023 11:42:29 GMT+0300 (Eastern European Summer Time)
1378,8650,Sat Jun 04 2022 21:14:51 GMT+0300 (Eastern European Summer Time),Sun Sep 17 2023 00:56:49 GMT+0300 (Eastern European Summer Time)
8385,5544,Thu May 26 2022 00:28:24 GMT+0300 (Eastern European Summer Time),Sun Feb 04 2024 10:16:38 GMT+0200 (Eastern European Standard Time)
4186,9185,Fri Feb 03 2023 10:31:59 GMT+0200 (Eastern European Standard Time),Thu Nov 02 2023 07:34:43 GMT+0200 (Eastern European Standard Time)
3881,4960,Tue Jun 14 2022 08:41:05 GMT+0300 (Eastern European Summer Time),Tue Jun 20 2023 13:17:49 GMT+0300 (Eastern European Summer Time)
1834,5414,Fri Nov 25 2022 10:16:04 GMT+0200 (Eastern European Standard Time),Wed May 31 2023 10:12:01 GMT+0300 (Eastern European Summer Time)
642,8199,Thu Sep 29 2022 19:40:39 GMT+0300 (Eastern European Summer Time),Thu Sep 28 2023 04:30:44 GMT+0300 (Eastern European Summer Time)
9188,9473,Sun Jul 24 2022 17:30:22 GMT+0300 (Eastern European Summer Time),Sun Nov 26 2023 03:44:36 GMT+0200 (Eastern European Standard Time)
2564,6116,Thu Jul 21 2022 13:36:36 GMT+0300 (Eastern European Summer Time),Sat Feb 25 2023 07:45:27 GMT+0200 (Eastern European Standard Time)
7207,7013,Wed Dec 28 2022 15:56:12 GMT+0200 (Eastern European Standard Time),Sun Jan 14 2024 00:57:41 GMT+0200 (Eastern European Standard Time)
8930,9966,Wed Aug 17 2022 23:44:32 GMT+0300 (Eastern European Summer Time),Tue Aug 08 2023 23:52:14 GMT+0300 (Eastern European Summer Time)
5982,5403,Thu Aug 18 2022 08:42:59 GMT+0300 (Eastern European Summer Time),Sun Apr 02 2023 13:53:28 GMT+0300 (Eastern European Summer Time)
3007,6853,Wed Aug 17 2022 01:24:53 GMT+0300 (Eastern European Summer Time),Fri Nov 24 2023 22:45:36 GMT+0200 (Eastern European Standard Time)
3222,5259,Sat Dec 24 2022 14:21:19 GMT+0200 (Eastern European Standard Time),Mon Jun 26 2023 00:14:00 GMT+0300 (Eastern European Summer Time)
7422,9027,Thu Apr 21 2022 00:28:34 GMT+0300 (Eastern European Summer Time),Fri Jan 19 2024 15:53:16 GMT+0200 (Eastern European Standard Time)
4884,2914,Mon Jul 11 2022 00:47:02 GMT+0300 (Eastern European Summer Time),Sun Dec 31 2023 11:24:06 GMT+0200 (Eastern European Standard Time)
9631,5590,Mon Feb 14 2022 00:07:59 GMT+0200 (Eastern European Standard Time),Fri Jun 30 2023 20:37:50 GMT+0300 (Eastern European Summer Time)
8977,8076,Thu Nov 24 2022 19:44:37 GMT+0200 (Eastern European Standard Time),Sat Jan 27 2024 22:56:05 GMT+0200 (Eastern European Standard Time)
5578,8887,Fri Oct 14 2022 05:18:40 GMT+0300 (Eastern European Summer Time),Wed Jun 28 2023 11:27:58 GMT+0300 (Eastern European Summer Time)
3441,9001,Sun Nov 13 2022 01:18:30 GMT+0200 (Eastern European Standard Time),Wed Oct 25 2023 09:26:19 GMT+0300 (Eastern European Summer Time)
7750,6648,Mon Apr 11 2022 19:48:18 GMT+0300 (Eastern European Summer Time),Tue Aug 22 2023 10:53:29 GMT+0300 (Eastern European Summer Time)
926,827,Sun Dec 25 2022 00:31:00 GMT+0200 (Eastern European Standard Time),Mon Oct 02 2023 18:37:30 GMT+0300 (Eastern European Summer Time)
9448,8268,Sun Oct 16 2022 11:03:55 GMT+0300 (Eastern European Summer Time),Fri Jun 02 2023 20:06:46 GMT+0300 (Eastern European Summer Time)
5660,433,Thu Jan 19 2023 02:43:37 GMT+0200 (Eastern European Standard Time),Thu May 18 2023 13:20:48 GMT+0300 (Eastern European Summer Time)
4925,8936,Mon Oct 10 2022 00:15:15 GMT+0300 (Eastern European Summer Time),Thu Nov 30 2023 02:13:20 GMT+0200 (Eastern European Standard Time)
3158,5644,Sat Aug 20 2022 04:26:01 GMT+0300 (Eastern European Summer Time),Sun Nov 19 2023 21:02:11 GMT+0200 (Eastern European Standard Time)
1631,5722,Tue May 17 2022 11:56:19 GMT+0300 (Eastern European Summer Time),Tue Oct 31 2023 16:40:45 GMT+0200 (Eastern European Standard Time)
9055,4070,Tue Sep 13 2022 02:35:09 GMT+0300 (Eastern European Summer Time),Sat Oct 14 2023 06:03:08 GMT+0300 (Eastern European Summer Time)
433,2027,Mon Jul 25 2022 17:59:33 GMT+0300 (Eastern European Summer Time),Thu Dec 14 2023 02:39:50 GMT+0200 (Eastern European Standard Time)
554,2065,Sat Feb 12 2022 15:15:23 GMT+0200 (Eastern European Standard Time),Sat Jul 08 2023 01:23:28 GMT+0300 (Eastern European Summer Time)
433,6340,Fri May 20 2022 03:49:22 GMT+0300 (Eastern European Summer Time),Thu Aug 31 2023 13:18:00 GMT+0300 (Eastern European Summer Time)
4918,5479,Sat Oct 29 2022 18:16:04 GMT+0300 (Eastern European Summer Time),Mon May 15 2023 15:05:50 GMT+0300 (Eastern European Summer Time)
